X,CH1,
Second,Volt,
-1.61200e-04,-8.00e-01,
-1.61100e-04,-6.00e-01,
-1.61000e-04,-8.00e-01,
-1.60900e-04,-6.00e-01,
-1.60800e-04,-8.00e-01,
-1.60700e-04,-2.00e-01,
-1.60600e-04,-8.00e-01,
-1.60500e-04,-2.00e-01,
-1.60400e-04,-8.00e-01,
-1.60300e-04,-2.00e-01,
-1.60200e-04,-8.00e-01,
-1.60100e-04,-6.00e-01,
-1.60000e-04,-6.00e-01,
-1.59900e-04,-8.00e-01,
-1.59800e-04,-8.00e-01,
-1.59700e-04,7.20e+00,
-1.59600e-04,7.40e+00,
-1.59500e-04,8.60e+00,
-1.59400e-04,8.60e+00,
-1.59300e-04,8.80e+00,
-1.59200e-04,8.60e+00,
-1.59100e-04,8.80e+00,
-1.59000e-04,8.60e+00,
-1.58900e-04,8.60e+00,
-1.58800e-04,8.60e+00,
-1.58700e-04,8.60e+00,
-1.58600e-04,8.60e+00,
-1.58500e-04,8.60e+00,
-1.58400e-04,8.60e+00,
-1.58300e-04,8.40e+00,
-1.58200e-04,8.60e+00,
-1.58100e-04,8.60e+00,
-1.58000e-04,8.60e+00,
-1.57900e-04,8.40e+00,
-1.57800e-04,8.60e+00,
-1.57700e-04,8.40e+00,
-1.57600e-04,8.60e+00,
-1.57500e-04,8.40e+00,
-1.57400e-04,8.60e+00,
-1.57300e-04,8.40e+00,
-1.57200e-04,8.60e+00,
-1.57100e-04,8.40e+00,
-1.57000e-04,8.60e+00,
-1.56900e-04,8.40e+00,
-1.56800e-04,8.60e+00,
-1.56700e-04,8.40e+00,
-1.56600e-04,8.60e+00,
-1.56500e-04,8.40e+00,
-1.56400e-04,8.60e+00,
-1.56300e-04,8.40e+00,
-1.56200e-04,8.60e+00,
-1.56100e-04,8.40e+00,
-1.56000e-04,8.60e+00,
-1.55900e-04,8.40e+00,
-1.55800e-04,8.60e+00,
-1.55700e-04,8.40e+00,
-1.55600e-04,8.40e+00,
-1.55500e-04,8.60e+00,
-1.55400e-04,8.60e+00,
-1.55300e-04,8.40e+00,
-1.55200e-04,8.60e+00,
-1.55100e-04,8.40e+00,
-1.55000e-04,8.60e+00,
-1.54900e-04,8.40e+00,
-1.54800e-04,8.40e+00,
-1.54700e-04,8.60e+00,
-1.54600e-04,8.60e+00,
-1.54500e-04,8.40e+00,
-1.54400e-04,8.60e+00,
-1.54300e-04,8.40e+00,
-1.54200e-04,8.60e+00,
-1.54100e-04,8.40e+00,
-1.54000e-04,8.60e+00,
-1.53900e-04,8.40e+00,
-1.53800e-04,8.60e+00,
-1.53700e-04,8.40e+00,
-1.53600e-04,8.40e+00,
-1.53500e-04,8.60e+00,
-1.53400e-04,8.60e+00,
-1.53300e-04,8.40e+00,
-1.53200e-04,8.60e+00,
-1.53100e-04,6.00e-01,
-1.53000e-04,2.00e-01,
-1.52900e-04,-1.00e+00,
