X,CH1,CH2,
Second,Volt,Volt,
9.97900e-04,-8.40e-01,6.00e-02,
9.98000e-04,-9.00e-01,4.00e-02,
9.98100e-04,-1.02e+00,2.00e-02,
9.98200e-04,-1.02e+00,4.00e-02,
9.98300e-04,-1.14e+00,4.00e-02,
9.98400e-04,-1.16e+00,4.00e-02,
9.98500e-04,-1.26e+00,2.00e-02,
9.98600e-04,-1.26e+00,4.00e-02,
9.98700e-04,-1.34e+00,2.00e-02,
9.98800e-04,-1.36e+00,4.00e-02,
9.98900e-04,-1.44e+00,2.00e-02,
9.99000e-04,-1.44e+00,4.00e-02,
9.99100e-04,-1.50e+00,2.00e-02,
9.99200e-04,-1.50e+00,2.00e-02,
9.99300e-04,-1.56e+00,4.00e-02,
9.99400e-04,-1.56e+00,2.00e-02,
9.99500e-04,-1.58e+00,0.00e+00,
9.99600e-04,-1.58e+00,2.00e-02,
9.99700e-04,-1.56e+00,0.00e+00,
9.99800e-04,-1.58e+00,0.00e+00,
9.99900e-04,-1.56e+00,2.00e-02,
1.00000e-03,-1.56e+00,0.00e+00,
1.00010e-03,-1.54e+00,2.00e-02,
1.00020e-03,-1.54e+00,0.00e+00,
1.00030e-03,-1.48e+00,2.00e-02,
1.00040e-03,-1.48e+00,0.00e+00,
1.00050e-03,-1.42e+00,0.00e+00,
1.00060e-03,-1.40e+00,0.00e+00,
1.00070e-03,-1.32e+00,0.00e+00,
1.00080e-03,-1.32e+00,0.00e+00,
1.00090e-03,-1.22e+00,0.00e+00,
1.00100e-03,-1.20e+00,0.00e+00,
1.00110e-03,-1.08e+00,0.00e+00,
1.00120e-03,-1.06e+00,0.00e+00,
1.00130e-03,-9.20e-01,0.00e+00,
1.00140e-03,-9.20e-01,0.00e+00,
1.00150e-03,-7.80e-01,0.00e+00,
1.00160e-03,-7.80e-01,0.00e+00,
1.00170e-03,-6.20e-01,0.00e+00,
1.00180e-03,-6.00e-01,0.00e+00,
1.00190e-03,-4.40e-01,0.00e+00,
1.00200e-03,-4.40e-01,0.00e+00,
1.00210e-03,-2.80e-01,0.00e+00,
1.00220e-03,-2.60e-01,0.00e+00,
1.00230e-03,-1.20e-01,0.00e+00,
1.00240e-03,-1.00e-01,0.00e+00,
1.00250e-03,1.00e-01,0.00e+00,
1.00260e-03,1.00e-01,0.00e+00,
1.00270e-03,2.60e-01,-2.00e-02,
1.00280e-03,2.80e-01,0.00e+00,
1.00290e-03,4.20e-01,0.00e+00,
1.00300e-03,4.60e-01,0.00e+00,
1.00310e-03,6.20e-01,0.00e+00,
1.00320e-03,6.20e-01,0.00e+00,
1.00330e-03,7.60e-01,0.00e+00,
1.00340e-03,7.80e-01,0.00e+00,
1.00350e-03,9.20e-01,0.00e+00,
1.00360e-03,9.60e-01,0.00e+00,
1.00370e-03,1.06e+00,0.00e+00,
1.00380e-03,1.06e+00,0.00e+00,
1.00390e-03,1.18e+00,0.00e+00,
1.00400e-03,1.18e+00,0.00e+00,
1.00410e-03,1.28e+00,0.00e+00,
1.00420e-03,1.30e+00,0.00e+00,
1.00430e-03,1.38e+00,0.00e+00,
1.00440e-03,1.38e+00,0.00e+00,
1.00450e-03,1.44e+00,0.00e+00,
1.00460e-03,1.46e+00,2.00e-02,
1.00470e-03,1.52e+00,0.00e+00,
1.00480e-03,1.52e+00,0.00e+00,
1.00490e-03,1.54e+00,2.00e-02,
1.00500e-03,1.54e+00,2.00e-02,
1.00510e-03,1.56e+00,0.00e+00,
1.00520e-03,1.56e+00,2.00e-02,
1.00530e-03,1.54e+00,0.00e+00,
1.00540e-03,1.56e+00,0.00e+00,
1.00550e-03,1.52e+00,2.00e-02,
1.00560e-03,1.54e+00,2.00e-02,
1.00570e-03,1.48e+00,4.00e-02,
1.00580e-03,1.50e+00,2.00e-02,
1.00590e-03,1.44e+00,4.00e-02,
1.00600e-03,1.42e+00,4.00e-02,
1.00610e-03,1.36e+00,2.00e-02,
1.00620e-03,1.36e+00,4.00e-02,
1.00630e-03,1.28e+00,4.00e-02,
1.00640e-03,1.24e+00,4.00e-02,
1.00650e-03,1.14e+00,2.00e-02,
1.00660e-03,1.14e+00,4.00e-02,
1.00670e-03,1.04e+00,2.00e-02,
1.00680e-03,1.04e+00,4.00e-02,
1.00690e-03,8.80e-01,4.00e-02,
1.00700e-03,8.80e-01,2.00e-02,
1.00710e-03,7.20e-01,6.00e-02,
1.00720e-03,7.00e-01,4.00e-02,
1.00730e-03,5.60e-01,6.00e-02,
1.00740e-03,5.40e-01,2.00e-02,
1.00750e-03,3.80e-01,6.00e-02,
1.00760e-03,3.80e-01,4.00e-02,
1.00770e-03,2.20e-01,6.00e-02,
1.00780e-03,2.20e-01,4.00e-02,
1.00790e-03,4.00e-02,6.00e-02,
1.00800e-03,2.00e-02,4.00e-02,
1.00810e-03,-1.80e-01,6.00e-02,
1.00820e-03,-1.80e-01,6.00e-02,
1.00830e-03,-3.40e-01,4.00e-02,
1.00840e-03,-3.40e-01,4.00e-02,
1.00850e-03,-5.00e-01,6.00e-02,
1.00860e-03,-5.20e-01,4.00e-02,
1.00870e-03,-6.60e-01,6.00e-02,
1.00880e-03,-6.80e-01,4.00e-02,
1.00890e-03,-8.20e-01,4.00e-02,
1.00900e-03,-8.40e-01,4.00e-02,
1.00910e-03,-9.80e-01,4.00e-02,
1.00920e-03,-1.00e+00,4.00e-02,
1.00930e-03,-1.10e+00,2.00e-02,
1.00940e-03,-1.12e+00,4.00e-02,
1.00950e-03,-1.24e+00,4.00e-02,
1.00960e-03,-1.24e+00,2.00e-02,
1.00970e-03,-1.34e+00,4.00e-02,
1.00980e-03,-1.34e+00,4.00e-02,
1.00990e-03,-1.42e+00,2.00e-02,
1.01000e-03,-1.44e+00,2.00e-02,
1.01010e-03,-1.50e+00,4.00e-02,
1.01020e-03,-1.50e+00,2.00e-02,
1.01030e-03,-1.54e+00,2.00e-02,
1.01040e-03,-1.54e+00,2.00e-02,
1.01050e-03,-1.58e+00,0.00e+00,
1.01060e-03,-1.56e+00,2.00e-02,
1.01070e-03,-1.58e+00,0.00e+00,
1.01080e-03,-1.58e+00,2.00e-02,
1.01090e-03,-1.56e+00,0.00e+00,
1.01100e-03,-1.56e+00,2.00e-02,
1.01110e-03,-1.54e+00,0.00e+00,
1.01120e-03,-1.54e+00,0.00e+00,
1.01130e-03,-1.48e+00,0.00e+00,
1.01140e-03,-1.48e+00,0.00e+00,
1.01150e-03,-1.42e+00,0.00e+00,
1.01160e-03,-1.42e+00,0.00e+00,
1.01170e-03,-1.32e+00,0.00e+00,
1.01180e-03,-1.32e+00,0.00e+00,
1.01190e-03,-1.22e+00,0.00e+00,
1.01200e-03,-1.22e+00,0.00e+00,
1.01210e-03,-1.08e+00,0.00e+00,
1.01220e-03,-1.08e+00,0.00e+00,
1.01230e-03,-9.60e-01,0.00e+00,
1.01240e-03,-9.40e-01,0.00e+00,
1.01250e-03,-7.80e-01,0.00e+00,
1.01260e-03,-7.60e-01,0.00e+00,
1.01270e-03,-6.40e-01,0.00e+00,
1.01280e-03,-6.20e-01,0.00e+00,
1.01290e-03,-4.40e-01,0.00e+00,
1.01300e-03,-4.40e-01,0.00e+00,
1.01310e-03,-3.00e-01,0.00e+00,
1.01320e-03,-2.80e-01,0.00e+00,
1.01330e-03,-1.20e-01,0.00e+00,
1.01340e-03,-1.20e-01,0.00e+00,
1.01350e-03,7.99e-02,0.00e+00,
1.01360e-03,7.99e-02,0.00e+00,
1.01370e-03,2.60e-01,0.00e+00,
1.01380e-03,2.80e-01,0.00e+00,
1.01390e-03,4.20e-01,-2.00e-02,
1.01400e-03,4.20e-01,0.00e+00,
1.01410e-03,5.80e-01,0.00e+00,
1.01420e-03,6.20e-01,0.00e+00,
1.01430e-03,7.40e-01,0.00e+00,
1.01440e-03,7.40e-01,0.00e+00,
1.01450e-03,9.20e-01,0.00e+00,
1.01460e-03,9.20e-01,0.00e+00,
1.01470e-03,1.06e+00,0.00e+00,
1.01480e-03,1.06e+00,0.00e+00,
1.01490e-03,1.16e+00,0.00e+00,
1.01500e-03,1.14e+00,0.00e+00,
